Date,AAPL,BIDU,GOOG
1-May-12,603.79,132.65,584.90
30-Apr-12,612.99,133.05,597.80
27-Apr-12,615.02,134.63,605.07
26-Apr-12,610.91,133.93,614.27
25-Apr-12,604.00,130.00,615.64
24-Apr-12,598.24,139.30,562.61
23-Apr-12,592.90,141.35,570.61
20-Apr-12,604.25,146.41,591.38
19-Apr-12,605.69,147.96,600.22
18-Apr-12,608.05,148.05,613.72
17-Apr-12,608.56,147.58,578.94
16-Apr-12,623.00,152.50,610.06
13-Apr-12,647.55,150.48,624.11
12-Apr-12,642.35,147.35,625.00
11-Apr-12,633.97,147.00,636.20
10-Apr-12,633.52,150.06,639.93
9-Apr-12,628.48,146.25,626.13
5-Apr-12,632.24,144.06,626.98
4-Apr-12,638.45,145.54,624.35
3-Apr-12,645.41,147.98,627.30
2-Apr-12,640.77,144.63,601.83
30-mar-12,651.75,147.89,608.77
29-mar-12,653.44,145.11,612.78
28-mar-12,652.03,150.78,618.38
27-mar-12,647.03,150.27,606.18
26-mar-12,645.00,145.62,599.79
23-mar-12,646.60,144.24,600.49
22-mar-12,638.50,139.13,597.78
21-mar-12,634.61,137.60,602.74
20-mar-12,630.92,136.35,599.51
19-mar-12,623.12,135.99,598.37
16-mar-12,620.89,136.32,584.72
15-mar-12,616.60,137.20,599.61
14-mar-12,615.00,139.33,578.05
13-mar-12,608.75,138.84,557.54
12-mar-12,600.00,138.37,548.98
09-mar-12,607.95,138.32,544.21
08-mar-12,610.04,137.14,534.69
07-mar-12,609.05,135.29,536.80
06-mar-12,608.05,133.70,523.66
05-mar-12,620.43,140.05,545.42
02-mar-12,622.00,139.70,544.24
01-mar-12,622.26,137.98,548.17
29-Feb-12,618.60,139.00,541.56
28-Feb-12,610.00,135.00,527.96
27-Feb-12,606.59,133.79,521.31
24-Feb-12,607.35,133.77,519.67
23-Feb-12,607.00,134.53,515.08
22-Feb-12,611.96,130.86,513.08
21-Feb-12,603.87,136.93,506.88
17-Feb-12,604.97,140.92,503.11
16-Feb-12,602.82,139.61,491.50
15-Feb-12,612.93,142.09,514.26
14-Feb-12,611.54,141.72,504.66
13-Feb-12,610.50,138.80,499.53
10-Feb-12,607.88,134.28,490.96
9-Feb-12,612.02,131.65,480.76
8-Feb-12,609.70,130.76,470.50
7-Feb-12,607.15,131.02,465.25
6-Feb-12,595.01,130.81,458.38
3-Feb-12,590.66,132.52,457.30
2-Feb-12,584.87,128.00,455.90
